model_name,sequence_id,prompt_tokens,completion_tokens,ttft_seconds,total_time_seconds,tokens_per_second,prompt_text,generated_text,rubric_score (manual)
Falcon-H1-7B-Instruct-Q4_K_S.gguf,seq_short_high_0,158,0,0,0,0,"Write a concise, human-readable summary of P0's emotional and attentional (engagement) development over time based on the following emotional sequence: happy, angry, sad, surprise, neutral, fear, disgust, happy, sad, angry.The engagement sequence is: [0.90, 0.75, 0.80, 0.98, 0.85, 0.95, 0.70, 0.88, 0.79, 0.75] with an average engagement score of 0.84 on a scale from 0 to 1.
You must not quote the raw sequence itself, but summarize the overall trend.
Summary:",GENERATION_ERROR: llama_decode returned -1,
Falcon-H1-7B-Instruct-Q4_K_S.gguf,seq_short_high_1,166,0,0,0,0,"Write a concise, human-readable summary of P1's emotional and attentional (engagement) development over time based on the following emotional sequence: fear, fear, surprise, happy, happy, neutral, sad, angry, surprise, fear, fear.The engagement sequence is: [0.95, 0.96, 0.98, 0.90, 0.88, 0.85, 0.78, 0.75, 0.97, 0.94, 0.92] with an average engagement score of 0.89 on a scale from 0 to 1.
You must not quote the raw sequence itself, but summarize the overall trend.
Summary:",GENERATION_ERROR: llama_decode returned -1,
Falcon-H1-7B-Instruct-Q4_K_S.gguf,seq_short_high_2,158,0,0,0,0,"Write a concise, human-readable summary of P2's emotional and attentional (engagement) development over time based on the following emotional sequence: sad, sad, angry, angry, happy, neutral, happy, sad, happy, surprise.The engagement sequence is: [0.80, 0.78, 0.75, 0.76, 0.88, 0.85, 0.90, 0.81, 0.89, 0.97] with an average engagement score of 0.84 on a scale from 0 to 1.
You must not quote the raw sequence itself, but summarize the overall trend.
Summary:",GENERATION_ERROR: llama_decode returned -1,
Falcon-H1-7B-Instruct-Q4_K_S.gguf,seq_short_high_3,174,0,0,0,0,"Write a concise, human-readable summary of P3's emotional and attentional (engagement) development over time based on the following emotional sequence: angry, disgust, fear, happy, neutral, sad, surprise, angry, neutral, happy, fear, sad.The engagement sequence is: [0.78, 0.72, 0.90, 0.88, 0.85, 0.80, 0.97, 0.77, 0.84, 0.89, 0.91, 0.79] with an average engagement score of 0.84 on a scale from 0 to 1.
You must not quote the raw sequence itself, but summarize the overall trend.
Summary:",GENERATION_ERROR: llama_decode returned -1,
Falcon-H1-7B-Instruct-Q4_K_S.gguf,seq_short_high_4,166,0,0,0,0,"Write a concise, human-readable summary of P4's emotional and attentional (engagement) development over time based on the following emotional sequence: happy, sad, happy, sad, happy, neutral, angry, neutral, angry, neutral, surprise.The engagement sequence is: [0.90, 0.80, 0.89, 0.79, 0.88, 0.85, 0.75, 0.84, 0.76, 0.83, 0.95] with an average engagement score of 0.84 on a scale from 0 to 1.
You must not quote the raw sequence itself, but summarize the overall trend.
Summary:",GENERATION_ERROR: llama_decode returned -1,
Falcon-H1-7B-Instruct-Q4_K_S.gguf,seq_medium_low_0,358,0,0,0,0,"Write a concise, human-readable summary of P0's emotional and attentional (engagement) development over time based on the following emotional sequence: neutral, neutral, neutral, neutral, neutral, neutral, happy, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, happy, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral.The engagement sequence is: [0.92, 0.93, 0.91, 0.92, 0.94, 0.93, 0.95, 0.94, 0.93, 0.92, 0.91, 0.90, 0.92, 0.93, 0.94, 0.92, 0.93, 0.91, 0.90, 0.92, 0.94, 0.93, 0.92, 0.91, 0.90, 0.92, 0.93, 0.91, 0.92, 0.90, 0.91, 0.93, 0.92, 0.94, 0.93] with an average engagement score of 0.92 on a scale from 0 to 1.
You must not quote the raw sequence itself, but summarize the overall trend.
Summary:",GENERATION_ERROR: llama_decode returned -1,
Falcon-H1-7B-Instruct-Q4_K_S.gguf,seq_medium_low_1,326,0,0,0,0,"Write a concise, human-readable summary of P1's emotional and attentional (engagement) development over time based on the following emotional sequence: happy, happy, happy, happy, happy, happy, happy, happy, happy, happy, happy, happy, neutral, happy, happy, happy, happy, happy, happy, happy, happy, happy, happy, happy, happy, happy, happy, happy, happy, happy, happy.The engagement sequence is: [0.88, 0.89, 0.90, 0.91, 0.90, 0.89, 0.91, 0.92, 0.90, 0.89, 0.91, 0.90, 0.85, 0.88, 0.89, 0.90, 0.91, 0.92, 0.90, 0.89, 0.91, 0.90, 0.92, 0.93, 0.91, 0.90, 0.89, 0.91, 0.90, 0.92, 0.91] with an average engagement score of 0.90 on a scale from 0 to 1.
You must not quote the raw sequence itself, but summarize the overall trend.
Summary:",GENERATION_ERROR: llama_decode returned -1,
Falcon-H1-7B-Instruct-Q4_K_S.gguf,seq_medium_low_2,334,0,0,0,0,"Write a concise, human-readable summary of P2's emotional and attentional (engagement) development over time based on the following emotional sequence: sad, sad, sad, sad, sad, sad, sad, sad, sad, neutral, sad, sad, sad, sad, sad, sad, sad, sad, sad, sad, sad, sad, sad, sad, sad, sad, neutral, sad, sad, sad, sad, sad.The engagement sequence is: [0.80, 0.81, 0.79, 0.80, 0.82, 0.81, 0.83, 0.82, 0.81, 0.84, 0.82, 0.81, 0.80, 0.79, 0.81, 0.82, 0.80, 0.81, 0.83, 0.82, 0.80, 0.79, 0.81, 0.82, 0.80, 0.81, 0.84, 0.82, 0.81, 0.80, 0.79, 0.81] with an average engagement score of 0.81 on a scale from 0 to 1.
You must not quote the raw sequence itself, but summarize the overall trend.
Summary:",GENERATION_ERROR: llama_decode returned -1,
Falcon-H1-7B-Instruct-Q4_K_S.gguf,seq_medium_low_3,342,0,0,0,0,"Write a concise, human-readable summary of P3's emotional and attentional (engagement) development over time based on the following emotional sequence: neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral.The engagement sequence is: [0.94, 0.95, 0.93, 0.94, 0.96, 0.95, 0.94, 0.93, 0.95, 0.96, 0.94, 0.95, 0.93, 0.94, 0.92, 0.93, 0.95, 0.94, 0.96, 0.95, 0.94, 0.93, 0.95, 0.94, 0.96, 0.95, 0.94, 0.93, 0.92, 0.94, 0.95, 0.96, 0.94] with an average engagement score of 0.94 on a scale from 0 to 1.
You must not quote the raw sequence itself, but summarize the overall trend.
Summary:",GENERATION_ERROR: llama_decode returned -1,
Falcon-H1-7B-Instruct-Q4_K_S.gguf,seq_medium_low_4,318,0,0,0,0,"Write a concise, human-readable summary of P4's emotional and attentional (engagement) development over time based on the following emotional sequence: happy, happy, happy, happy, happy, happy, happy, happy, happy, happy, happy, happy, happy, happy, happy, happy, happy, happy, happy, happy, happy, happy, happy, happy, happy, happy, happy, happy, happy, happy.The engagement sequence is: [0.91, 0.90, 0.92, 0.93, 0.91, 0.90, 0.92, 0.93, 0.91, 0.92, 0.90, 0.89, 0.91, 0.92, 0.93, 0.91, 0.90, 0.92, 0.91, 0.90, 0.92, 0.93, 0.91, 0.90, 0.92, 0.93, 0.91, 0.92, 0.90, 0.91] with an average engagement score of 0.91 on a scale from 0 to 1.
You must not quote the raw sequence itself, but summarize the overall trend.
Summary:",GENERATION_ERROR: llama_decode returned -1,
Falcon-H1-7B-Instruct-Q4_K_S.gguf,seq_medium_medium_0,310,0,0,0,0,"Write a concise, human-readable summary of P0's emotional and attentional (engagement) development over time based on the following emotional sequence: happy, happy, happy, happy, happy, happy, happy, happy, happy, happy, happy, happy, surprise, fear, fear, fear, fear, sad, sad, sad, sad, sad, sad, sad, sad, sad, neutral, neutral, neutral.The engagement sequence is: [0.90, 0.91, 0.92, 0.90, 0.89, 0.91, 0.92, 0.90, 0.91, 0.89, 0.90, 0.91, 0.98, 0.96, 0.95, 0.94, 0.93, 0.80, 0.78, 0.79, 0.81, 0.80, 0.79, 0.81, 0.80, 0.82, 0.84, 0.85, 0.86] with an average engagement score of 0.88 on a scale from 0 to 1.
You must not quote the raw sequence itself, but summarize the overall trend.
Summary:",GENERATION_ERROR: llama_decode returned -1,
Falcon-H1-7B-Instruct-Q4_K_S.gguf,seq_medium_medium_1,318,0,0,0,0,"Write a concise, human-readable summary of P1's emotional and attentional (engagement) development over time based on the following emotional sequence: neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, disgust, disgust, disgust, disgust, disgust, disgust, angry, angry, angry, angry, angry, angry, neutral, neutral, neutral.The engagement sequence is: [0.85, 0.86, 0.84, 0.85, 0.83, 0.84, 0.85, 0.86, 0.85, 0.84, 0.83, 0.85, 0.86, 0.84, 0.85, 0.70, 0.68, 0.69, 0.71, 0.70, 0.72, 0.75, 0.76, 0.74, 0.75, 0.73, 0.76, 0.80, 0.82, 0.83] with an average engagement score of 0.80 on a scale from 0 to 1.
You must not quote the raw sequence itself, but summarize the overall trend.
Summary:",GENERATION_ERROR: llama_decode returned -1,
Falcon-H1-7B-Instruct-Q4_K_S.gguf,seq_medium_medium_2,318,0,0,0,0,"Write a concise, human-readable summary of P2's emotional and attentional (engagement) development over time based on the following emotional sequence: sad, sad, sad, sad, sad, sad, sad, sad, sad, sad, sad, sad, sad, sad, neutral, surprise, happy, happy, happy, happy, happy, happy, happy, happy, happy, happy, happy, happy, neutral, neutral.The engagement sequence is: [0.80, 0.79, 0.81, 0.80, 0.82, 0.81, 0.80, 0.79, 0.81, 0.80, 0.82, 0.81, 0.80, 0.81, 0.85, 0.97, 0.92, 0.91, 0.90, 0.89, 0.91, 0.92, 0.90, 0.89, 0.91, 0.90, 0.92, 0.91, 0.88, 0.87] with an average engagement score of 0.86 on a scale from 0 to 1.
You must not quote the raw sequence itself, but summarize the overall trend.
Summary:",GENERATION_ERROR: llama_decode returned -1,
Falcon-H1-7B-Instruct-Q4_K_S.gguf,seq_medium_medium_3,294,0,0,0,0,"Write a concise, human-readable summary of P3's emotional and attentional (engagement) development over time based on the following emotional sequence: happy, happy, happy, happy, happy, happy, happy, happy, neutral, neutral, neutral, neutral, neutral, neutral, surprise, fear, fear, fear, fear, fear, fear, fear, fear, neutral, neutral, neutral, neutral.The engagement sequence is: [0.92, 0.93, 0.91, 0.90, 0.92, 0.91, 0.93, 0.90, 0.85, 0.84, 0.86, 0.85, 0.84, 0.86, 0.98, 0.96, 0.97, 0.95, 0.96, 0.94, 0.95, 0.96, 0.97, 0.88, 0.87, 0.86, 0.85] with an average engagement score of 0.90 on a scale from 0 to 1.
You must not quote the raw sequence itself, but summarize the overall trend.
Summary:",GENERATION_ERROR: llama_decode returned -1,
Falcon-H1-7B-Instruct-Q4_K_S.gguf,seq_medium_medium_4,310,0,0,0,0,"Write a concise, human-readable summary of P4's emotional and attentional (engagement) development over time based on the following emotional sequence: neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, angry, angry, angry, angry, angry, angry, angry, angry, angry, angry, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral.The engagement sequence is: [0.90, 0.89, 0.91, 0.88, 0.87, 0.89, 0.90, 0.88, 0.75, 0.74, 0.76, 0.75, 0.73, 0.74, 0.72, 0.75, 0.76, 0.74, 0.85, 0.86, 0.87, 0.85, 0.86, 0.84, 0.85, 0.86, 0.87, 0.88, 0.87] with an average engagement score of 0.83 on a scale from 0 to 1.
You must not quote the raw sequence itself, but summarize the overall trend.
Summary:",GENERATION_ERROR: llama_decode returned -1,
Falcon-H1-7B-Instruct-Q4_K_S.gguf,seq_medium_high_0,326,0,0,0,0,"Write a concise, human-readable summary of P0's emotional and attentional (engagement) development over time based on the following emotional sequence: happy, happy, happy, angry, angry, sad, sad, sad, surprise, neutral, neutral, fear, fear, fear, fear, happy, happy, happy, happy, sad, sad, angry, angry, neutral, neutral, neutral, neutral, surprise, surprise, happy, happy.The engagement sequence is: [0.90, 0.89, 0.88, 0.75, 0.74, 0.80, 0.79, 0.81, 0.97, 0.88, 0.87, 0.95, 0.96, 0.94, 0.95, 0.90, 0.89, 0.91, 0.90, 0.82, 0.81, 0.78, 0.77, 0.85, 0.84, 0.86, 0.85, 0.98, 0.97, 0.92, 0.91] with an average engagement score of 0.87 on a scale from 0 to 1.
You must not quote the raw sequence itself, but summarize the overall trend.
Summary:",GENERATION_ERROR: llama_decode returned -1,
Falcon-H1-7B-Instruct-Q4_K_S.gguf,seq_medium_high_1,318,0,0,0,0,"Write a concise, human-readable summary of P1's emotional and attentional (engagement) development over time based on the following emotional sequence: sad, sad, neutral, neutral, disgust, disgust, angry, angry, angry, fear, fear, surprise, happy, happy, neutral, neutral, sad, sad, sad, fear, fear, happy, happy, happy, surprise, surprise, surprise, angry, angry, angry.The engagement sequence is: [0.82, 0.81, 0.85, 0.86, 0.70, 0.71, 0.75, 0.76, 0.74, 0.92, 0.93, 0.98, 0.90, 0.89, 0.86, 0.85, 0.80, 0.79, 0.81, 0.94, 0.93, 0.91, 0.90, 0.89, 0.97, 0.98, 0.96, 0.78, 0.77, 0.76] with an average engagement score of 0.85 on a scale from 0 to 1.
You must not quote the raw sequence itself, but summarize the overall trend.
Summary:",GENERATION_ERROR: llama_decode returned -1,
Falcon-H1-7B-Instruct-Q4_K_S.gguf,seq_medium_high_2,318,0,0,0,0,"Write a concise, human-readable summary of P2's emotional and attentional (engagement) development over time based on the following emotional sequence: neutral, fear, fear, fear, happy, happy, surprise, surprise, sad, sad, sad, angry, angry, disgust, disgust, neutral, neutral, neutral, happy, happy, happy, fear, fear, sad, sad, sad, surprise, surprise, surprise, neutral.The engagement sequence is: [0.88, 0.95, 0.96, 0.94, 0.90, 0.89, 0.98, 0.97, 0.80, 0.79, 0.81, 0.75, 0.76, 0.70, 0.71, 0.85, 0.86, 0.84, 0.91, 0.90, 0.92, 0.96, 0.95, 0.82, 0.81, 0.83, 0.97, 0.98, 0.96, 0.89] with an average engagement score of 0.87 on a scale from 0 to 1.
You must not quote the raw sequence itself, but summarize the overall trend.
Summary:",GENERATION_ERROR: llama_decode returned -1,
Falcon-H1-7B-Instruct-Q4_K_S.gguf,seq_medium_high_3,326,0,0,0,0,"Write a concise, human-readable summary of P3's emotional and attentional (engagement) development over time based on the following emotional sequence: happy, sad, happy, sad, happy, neutral, neutral, angry, fear, angry, fear, surprise, neutral, happy, happy, sad, sad, disgust, neutral, angry, angry, happy, happy, neutral, neutral, fear, fear, fear, sad, sad, happy.The engagement sequence is: [0.90, 0.80, 0.89, 0.79, 0.88, 0.85, 0.84, 0.75, 0.94, 0.76, 0.93, 0.98, 0.86, 0.91, 0.90, 0.81, 0.80, 0.72, 0.83, 0.77, 0.78, 0.89, 0.90, 0.85, 0.84, 0.95, 0.96, 0.94, 0.82, 0.81, 0.90] with an average engagement score of 0.85 on a scale from 0 to 1.
You must not quote the raw sequence itself, but summarize the overall trend.
Summary:",GENERATION_ERROR: llama_decode returned -1,
Falcon-H1-7B-Instruct-Q4_K_S.gguf,seq_medium_high_4,318,0,0,0,0,"Write a concise, human-readable summary of P4's emotional and attentional (engagement) development over time based on the following emotional sequence: surprise, surprise, neutral, neutral, angry, angry, angry, angry, happy, happy, happy, fear, fear, sad, sad, sad, sad, neutral, neutral, happy, happy, happy, disgust, disgust, neutral, neutral, sad, sad, angry, angry.The engagement sequence is: [0.98, 0.97, 0.88, 0.87, 0.75, 0.76, 0.74, 0.75, 0.90, 0.89, 0.91, 0.95, 0.94, 0.80, 0.79, 0.81, 0.80, 0.85, 0.86, 0.91, 0.90, 0.89, 0.70, 0.71, 0.84, 0.85, 0.82, 0.81, 0.78, 0.77] with an average engagement score of 0.84 on a scale from 0 to 1.
You must not quote the raw sequence itself, but summarize the overall trend.
Summary:",GENERATION_ERROR: llama_decode returned -1,
Falcon-H1-7B-Instruct-Q4_K_S.gguf,seq_long_low_0,582,0,0,0,0,"Write a concise, human-readable summary of P0's emotional and attentional (engagement) development over time based on the following emotional sequence: neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral, neutral.The engagement sequence is: [0.95, 0.94, 0.96, 0.95, 0.94, 0.93, 0.95, 0.96, 0.94, 0.95, 0.93, 0.94, 0.92, 0.93, 0.95, 0.94, 0.96, 0.95, 0.94, 0.93, 0.95, 0.94, 0.96, 0.95, 0.94, 0.93, 0.92, 0.94, 0.95, 0.96, 0.94, 0.95, 0.93, 0.94, 0.92, 0.93, 0.95, 0.94, 0.96, 0.95, 0.94, 0.93, 0.95, 0.94, 0.96, 0.95, 0.94, 0.93, 0.92, 0.94, 0.95, 0.96, 0.94, 0.95, 0.93, 0.94, 0.92, 0.93, 0.95, 0.94, 0.96, 0.95, 0.94] with an average engagement score of 0.94 on a scale from 0 to 1.
You must not quote the raw sequence itself, but summarize the overall trend.
Summary:",GENERATION_ERROR: llama_decode returned -1,
Falcon-H1-7B-Instruct-Q4_K_S.gguf,seq_long_low_1,574,0,0,0,0,"Write a concise, human-readable summary of P1's emotional and attentional (engagement) development over time based on the following emotional sequence: happy, happy, happy, happy, happy, happy, happy, happy, happy, happy, happy, happy, happy, happy, happy, happy, happy, happy, happy, happy, neutral, happy, happy, happy, happy, happy, happy, happy, happy, happy, happy, happy, happy, happy, happy, happy, happy, happy, happy, happy, happy, happy, happy, happy, happy, happy, happy, happy, happy, happy, happy, happy, happy, happy, happy, happy, happy, happy, happy, happy, happy, happy.The engagement sequence is: [0.90, 0.91, 0.89, 0.90, 0.92, 0.91, 0.90, 0.89, 0.91, 0.90, 0.92, 0.91, 0.90, 0.89, 0.91, 0.90, 0.92, 0.91, 0.90, 0.89, 0.85, 0.88, 0.89, 0.90, 0.91, 0.92, 0.90, 0.89, 0.91, 0.90, 0.92, 0.91, 0.90, 0.89, 0.91, 0.90, 0.92, 0.91, 0.90, 0.89, 0.91, 0.90, 0.92, 0.91, 0.90, 0.89, 0.91, 0.90, 0.92, 0.91, 0.90, 0.89, 0.91, 0.90, 0.92, 0.91, 0.90, 0.89, 0.91, 0.90, 0.92, 0.91] with an average engagement score of 0.90 on a scale from 0 to 1.
You must not quote the raw sequence itself, but summarize the overall trend.
Summary:",GENERATION_ERROR: llama_decode returned -1,
Falcon-H1-7B-Instruct-Q4_K_S.gguf,seq_long_low_2,582,0,0,0,0,"Write a concise, human-readable summary of P2's emotional and attentional (engagement) development over time based on the following emotional sequence: sad, sad, sad, sad, sad, sad, sad, sad, sad, sad, sad, sad, sad, sad, sad, sad, sad, sad, sad, sad, sad, sad, sad, sad, sad, sad, sad, neutral, sad, sad, sad, sad, sad, sad, sad, sad, sad, sad, sad, sad, sad, sad, sad, sad, sad, sad, sad, sad, sad, sad, sad, sad, sad, sad, sad, sad, sad, sad, sad, sad, sad, sad, sad.The engagement sequence is: [0.82, 0.81, 0.80, 0.79, 0.81, 0.82, 0.80, 0.81, 0.79, 0.80, 0.82, 0.81, 0.80, 0.79, 0.81, 0.82, 0.80, 0.81, 0.79, 0.80, 0.82, 0.81, 0.80, 0.79, 0.81, 0.82, 0.80, 0.84, 0.82, 0.81, 0.80, 0.79, 0.81, 0.82, 0.80, 0.81, 0.79, 0.80, 0.82, 0.81, 0.80, 0.79, 0.81, 0.82, 0.80, 0.81, 0.79, 0.80, 0.82, 0.81, 0.80, 0.79, 0.81, 0.82, 0.80, 0.81, 0.79, 0.80, 0.82, 0.81, 0.80, 0.79, 0.81] with an average engagement score of 0.81 on a scale from 0 to 1.
You must not quote the raw sequence itself, but summarize the overall trend.
Summary:",GENERATION_ERROR: llama_decode returned -1,
